soc_code,occupation_title,target_domain,description,Realistic,Investigative,Artistic,Social,Enterprising,Conventional,Critical Thinking,Programming,Active Listening,Reading Comprehension,Speaking,Writing,Complex Problem Solving,Decision Making,Deductive Reasoning,Inductive Reasoning,Problem Sensitivity,Oral Comprehension,Mathematical Reasoning,Information Ordering,Visualization,Selective Attention,Computers and Electronics,Mathematics,Engineering and Technology,Business,Psychology,Education and Training,Medicine and Health,Communications
19-1029.01,Bioinformatics Scientists,"Life, Physical, and Social Science","Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information.",5.28,10.0,3.74,2.65,1.35,6.79,8.49,1.27,7.96,8.59,8.0,7.9,1.0,1.0,8.36,7.76,8.22,7.89,8.09,8.46,6.05,7.15,9.5,7.88,5.47,5.51,2.92,6.64,4.43,4.86
19-1029.01,Bioinformatics Scientists,"Life, Physical, and Social Science","Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information.",5.2,9.78,3.51,2.02,1.69,6.91,8.24,1.0,7.7,8.36,8.18,7.99,1.47,1.04,7.87,8.09,7.99,7.92,8.0,8.33,5.51,7.08,9.57,7.68,6.05,5.34,3.32,6.84,5.21,4.97
19-1029.01,Bioinformatics Scientists,"Life, Physical, and Social Science","Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information.",5.86,10.0,3.61,2.06,1.43,7.69,8.27,1.0,8.17,8.62,7.65,7.69,1.17,1.13,8.25,7.55,7.52,8.18,7.89,8.05,5.48,6.95,9.58,7.78,5.82,4.95,3.81,6.22,4.54,5.58
19-1029.01,Bioinformatics Scientists,"Life, Physical, and Social Science","Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information.",5.07,10.0,3.17,2.37,2.25,7.56,7.87,1.26,7.92,8.71,8.44,7.96,1.0,1.18,8.36,8.11,8.13,8.16,7.64,8.49,5.58,7.21,9.42,7.37,5.65,5.01,3.26,6.24,4.61,5.28
19-1029.01,Bioinformatics Scientists,"Life, Physical, and Social Science","Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information.",5.43,9.87,3.9,2.48,1.68,7.66,8.3,1.26,8.47,8.71,7.59,7.72,1.0,1.0,8.01,8.08,7.55,8.7,8.16,8.47,5.4,6.6,9.34,7.56,5.37,4.8,3.7,7.01,4.54,5.7
19-1029.01,Bioinformatics Scientists,"Life, Physical, and Social Science","Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information.",5.09,9.51,3.28,2.61,1.87,6.91,8.37,1.0,8.28,8.37,7.81,8.24,1.0,1.46,8.44,8.48,7.53,7.84,7.54,7.71,5.81,6.83,9.65,8.17,5.54,5.29,3.38,6.53,4.41,5.55
19-1029.01,Bioinformatics Scientists,"Life, Physical, and Social Science","Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information.",5.82,10.0,3.41,2.42,1.6,6.85,8.54,1.45,7.92,8.72,7.89,7.3,1.45,1.29,7.64,8.11,8.14,8.49,8.16,8.17,6.01,6.49,8.91,7.63,5.8,5.33,3.27,6.94,4.62,5.12
19-1029.01,Bioinformatics Scientists,"Life, Physical, and Social Science","Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information.",5.2,10.0,3.21,2.07,1.49,6.77,8.68,1.28,7.51,8.67,8.25,8.06,1.0,1.0,7.97,8.33,8.43,7.81,7.52,7.57,6.18,6.99,9.45,8.3,5.38,5.07,3.6,6.72,4.99,5.4
19-1029.01,Bioinformatics Scientists,"Life, Physical, and Social Science","Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information.",5.06,9.99,4.07,2.79,1.47,7.25,8.18,1.0,7.86,8.37,7.54,8.07,1.0,1.24,8.41,7.92,8.07,8.2,8.07,8.24,5.82,6.55,9.19,8.2,5.81,5.31,2.96,6.41,4.61,5.44
19-1029.02,Molecular and Cellular Biologists,"Life, Physical, and Social Science",Research and study cellular molecules and organelles to understand cell function and organization.,7.37,9.98,2.67,3.39,3.2,7.67,8.49,1.44,8.42,8.38,7.52,8.13,1.24,1.0,7.88,8.73,7.68,8.58,7.37,7.45,5.86,6.91,6.56,7.36,4.67,5.76,3.83,7.18,5.73,5.8
19-1029.02,Molecular and Cellular Biologists,"Life, Physical, and Social Science",Research and study cellular molecules and organelles to understand cell function and organization.,7.18,9.9,2.59,2.86,4.05,6.99,7.98,1.13,7.88,8.38,8.12,8.77,1.31,1.0,8.29,7.8,7.9,8.61,7.42,7.86,6.19,6.53,7.0,8.04,4.68,5.88,4.55,7.04,6.16,5.04
19-1029.02,Molecular and Cellular Biologists,"Life, Physical, and Social Science",Research and study cellular molecules and organelles to understand cell function and organization.,7.1,9.25,3.23,3.05,3.74,7.28,8.53,1.0,8.4,8.88,7.52,8.59,1.42,1.05,7.87,8.59,7.95,8.38,7.62,7.77,5.29,6.8,7.14,8.0,4.63,5.6,4.27,7.55,5.86,5.86
19-1029.02,Molecular and Cellular Biologists,"Life, Physical, and Social Science",Research and study cellular molecules and organelles to understand cell function and organization.,7.65,9.15,2.6,3.57,3.48,7.01,7.8,1.45,8.16,8.7,7.77,8.59,1.0,1.0,8.38,8.15,7.56,8.38,7.83,7.39,5.83,6.27,6.45,8.01,4.49,5.26,3.74,6.86,6.47,5.94
19-1029.02,Molecular and Cellular Biologists,"Life, Physical, and Social Science",Research and study cellular molecules and organelles to understand cell function and organization.,7.17,9.02,2.55,3.42,4.01,7.06,8.31,1.0,8.13,9.16,8.01,8.55,1.35,1.0,7.95,7.95,8.44,8.21,7.34,7.59,6.23,6.5,6.41,7.15,4.86,5.88,4.6,6.98,5.84,5.43
19-1029.02,Molecular and Cellular Biologists,"Life, Physical, and Social Science",Research and study cellular molecules and organelles to understand cell function and organization.,6.79,9.82,3.09,3.28,4.14,6.95,8.29,1.15,8.05,8.6,7.87,8.68,1.0,1.0,7.96,8.66,7.86,8.42,8.0,7.79,6.06,6.96,6.3,8.04,4.47,5.23,3.88,6.71,6.09,5.76
19-1029.02,Molecular and Cellular Biologists,"Life, Physical, and Social Science",Research and study cellular molecules and organelles to understand cell function and organization.,6.78,9.09,2.6,3.2,4.1,7.01,7.97,1.1,8.37,8.77,7.7,8.35,1.05,1.25,8.23,8.28,8.26,8.75,7.54,7.64,5.45,6.77,7.23,7.26,4.34,5.68,3.85,7.38,5.96,5.2
19-1029.02,Molecular and Cellular Biologists,"Life, Physical, and Social Science",Research and study cellular molecules and organelles to understand cell function and organization.,6.69,9.52,2.45,3.57,3.64,6.89,7.82,1.0,8.26,8.52,8.39,8.3,1.0,1.0,8.33,8.48,8.1,8.6,7.37,7.73,5.91,6.96,6.81,7.53,4.66,5.54,4.06,7.59,6.03,5.74
19-1029.02,Molecular and Cellular Biologists,"Life, Physical, and Social Science",Research and study cellular molecules and organelles to understand cell function and organization.,7.17,9.94,2.45,2.88,4.08,7.12,8.37,1.26,8.42,8.9,7.84,8.15,1.0,1.0,7.74,8.16,7.51,8.03,8.0,8.0,5.69,6.85,6.98,7.11,4.67,5.27,4.14,7.6,6.23,5.76
19-1029.02,Molecular and Cellular Biologists,"Life, Physical, and Social Science",Research and study cellular molecules and organelles to understand cell function and organization.,7.12,9.05,2.9,3.68,3.73,7.7,8.55,1.0,8.06,9.02,8.04,8.57,1.29,1.0,7.84,7.86,7.63,8.19,8.25,7.97,6.18,6.55,6.33,7.94,4.65,5.73,3.74,7.25,6.2,6.02
19-1029.03,Geneticists,"Life, Physical, and Social Science","Research and study the inheritance of traits at the molecular, organism or population level. May evaluate or treat patients with genetic disorders.",5.3,9.93,4.64,4.42,2.18,6.56,8.21,1.0,8.42,8.72,8.36,8.36,1.28,1.24,7.77,8.8,7.94,8.27,7.78,7.26,5.83,5.6,6.23,7.34,4.4,5.29,3.87,6.96,6.01,4.94
19-1029.03,Geneticists,"Life, Physical, and Social Science","Research and study the inheritance of traits at the molecular, organism or population level. May evaluate or treat patients with genetic disorders.",6.26,9.71,4.61,4.43,2.23,7.12,7.75,1.34,8.05,8.59,7.79,8.45,1.02,1.0,8.44,8.07,8.23,8.85,8.1,8.14,5.94,5.86,6.16,7.79,4.28,5.03,3.99,6.97,5.5,4.99
19-1029.03,Geneticists,"Life, Physical, and Social Science","Research and study the inheritance of traits at the molecular, organism or population level. May evaluate or treat patients with genetic disorders.",6.18,9.99,4.26,3.93,2.36,6.51,7.76,1.0,8.39,8.17,7.89,7.93,1.0,1.0,7.75,8.87,8.5,8.87,7.87,7.77,5.84,6.18,5.74,7.65,4.76,5.05,4.24,7.64,6.21,4.86
19-1029.03,Geneticists,"Life, Physical, and Social Science","Research and study the inheritance of traits at the molecular, organism or population level. May evaluate or treat patients with genetic disorders.",5.89,10.0,4.69,4.37,2.19,6.35,7.92,1.0,8.16,8.32,8.43,7.97,1.0,1.45,8.12,8.97,8.27,8.88,7.74,7.47,5.9,6.3,6.21,7.68,4.13,5.53,4.23,7.83,5.37,5.03
19-1029.03,Geneticists,"Life, Physical, and Social Science","Research and study the inheritance of traits at the molecular, organism or population level. May evaluate or treat patients with genetic disorders.",6.17,9.79,4.67,4.47,1.87,7.17,7.76,1.0,8.45,8.12,8.47,7.58,1.14,1.5,7.95,8.04,8.15,8.77,7.55,8.05,5.61,5.58,5.86,7.44,4.75,5.01,4.29,7.89,5.3,4.42
19-1029.03,Geneticists,"Life, Physical, and Social Science","Research and study the inheritance of traits at the molecular, organism or population level. May evaluate or treat patients with genetic disorders.",5.92,10.0,4.48,4.55,2.75,6.97,7.85,1.0,7.77,8.72,8.34,8.31,1.0,1.0,8.19,8.2,7.61,8.11,7.99,7.94,5.28,6.06,6.33,7.69,4.23,5.54,4.05,7.22,6.03,4.97
19-1029.03,Geneticists,"Life, Physical, and Social Science","Research and study the inheritance of traits at the molecular, organism or population level. May evaluate or treat patients with genetic disorders.",5.32,9.51,4.12,4.57,2.67,6.38,7.93,1.39,7.98,8.78,8.35,7.59,1.22,1.0,7.79,8.08,8.03,8.07,7.35,7.81,5.5,6.48,5.74,7.69,4.19,5.46,3.85,7.09,5.75,5.1
19-1029.03,Geneticists,"Life, Physical, and Social Science","Research and study the inheritance of traits at the molecular, organism or population level. May evaluate or treat patients with genetic disorders.",5.97,9.84,4.41,4.59,2.72,6.55,8.07,1.47,8.04,8.8,7.68,7.77,1.0,1.43,7.6,8.24,8.15,8.62,7.8,7.82,5.46,5.97,6.5,7.21,4.77,5.46,4.35,7.48,6.05,4.97
19-1029.03,Geneticists,"Life, Physical, and Social Science","Research and study the inheritance of traits at the molecular, organism or population level. May evaluate or treat patients with genetic disorders.",5.72,10.0,3.76,4.55,2.07,6.45,7.59,1.0,8.14,8.16,8.44,8.29,1.0,1.0,8.18,8.53,7.65,8.89,7.53,7.84,5.37,5.85,6.4,7.71,4.63,5.3,4.41,7.14,5.76,4.75
19-1029.03,Geneticists,"Life, Physical, and Social Science","Research and study the inheritance of traits at the molecular, organism or population level. May evaluate or treat patients with genetic disorders.",6.07,10.0,4.47,4.15,2.28,6.84,8.22,1.0,8.25,8.73,8.5,8.23,1.0,1.0,7.98,8.33,7.66,8.81,7.64,8.09,6.11,5.79,6.34,7.79,4.5,5.76,4.28,7.19,5.44,5.32
19-1029.04,Biologists,"Life, Physical, and Social Science","Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.",6.13,9.91,3.85,3.34,4.03,6.13,8.34,1.0,7.94,8.2,7.99,8.44,1.0,1.0,8.16,8.48,7.72,8.34,8.13,8.13,5.83,5.89,6.09,7.44,6.18,7.09,4.69,8.01,5.01,6.18
19-1029.04,Biologists,"Life, Physical, and Social Science","Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.",6.23,9.54,3.36,3.33,4.31,6.54,8.15,1.0,7.52,8.65,7.54,8.24,1.0,1.33,7.97,8.5,8.13,8.62,7.52,7.57,6.28,5.8,5.58,7.95,6.56,6.8,4.19,7.9,5.02,5.92
19-1029.04,Biologists,"Life, Physical, and Social Science","Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.",6.05,10.0,3.03,4.21,3.64,6.03,8.21,1.0,7.96,7.97,7.94,8.65,1.0,1.07,8.05,7.86,7.86,8.01,7.89,8.05,5.77,6.05,5.9,7.08,6.21,6.65,4.46,8.41,4.71,6.02
19-1029.04,Biologists,"Life, Physical, and Social Science","Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.",5.73,9.85,2.98,3.61,3.94,6.44,8.3,1.0,8.36,7.89,8.38,8.65,1.19,1.0,7.91,8.39,7.64,8.39,7.87,7.83,5.61,6.25,5.57,7.37,6.12,6.58,4.2,8.0,4.75,5.58
19-1029.04,Biologists,"Life, Physical, and Social Science","Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.",6.16,9.79,3.76,3.28,3.55,6.26,7.61,1.24,7.61,8.15,7.96,8.25,1.3,1.27,7.66,7.83,8.12,8.48,8.11,8.22,6.04,5.87,5.58,7.26,6.26,7.02,4.71,8.79,4.6,6.02
19-1029.04,Biologists,"Life, Physical, and Social Science","Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.",6.31,10.0,3.09,3.47,4.03,6.17,7.66,1.43,7.51,8.17,7.67,8.26,1.0,1.0,7.36,8.15,7.3,7.99,7.99,8.46,5.72,5.73,5.76,7.62,6.32,7.22,4.4,7.97,4.2,6.13
19-1029.04,Biologists,"Life, Physical, and Social Science","Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.",5.86,9.6,3.54,3.8,3.94,6.47,7.82,1.37,8.19,7.85,8.43,8.71,1.0,1.09,8.08,8.06,8.1,8.66,7.34,7.62,6.33,5.88,5.92,7.83,6.67,6.88,4.81,8.67,4.94,6.01
19-1029.04,Biologists,"Life, Physical, and Social Science","Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.",5.7,9.97,3.84,3.99,4.16,5.96,8.31,1.28,8.17,8.05,7.92,8.21,1.02,1.0,7.62,7.83,7.35,8.4,7.77,8.41,6.31,6.28,6.46,7.89,5.96,7.1,4.63,8.81,4.55,6.22
19-1029.04,Biologists,"Life, Physical, and Social Science","Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.",5.66,9.71,3.38,3.58,4.23,6.33,8.33,1.0,7.52,8.12,8.01,8.14,1.08,1.0,8.2,8.1,7.37,8.73,7.57,8.43,5.88,5.71,6.27,7.24,6.33,6.7,4.02,8.3,4.6,5.93
19-1029.04,Biologists,"Life, Physical, and Social Science","Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.",6.07,9.62,3.14,3.55,3.63,6.14,8.11,1.0,7.71,7.79,8.42,7.98,1.0,1.0,8.0,8.58,7.41,8.14,7.74,8.04,6.37,5.96,6.12,7.18,6.43,6.36,3.99,8.55,4.31,6.1
19-1031.00,Conservation Scientists,"Life, Physical, and Social Science","Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.",7.8,8.11,2.44,4.32,4.61,5.39,7.46,1.0,7.64,7.48,7.66,7.38,1.22,1.0,7.96,7.24,7.01,8.06,6.87,7.32,6.22,5.84,6.35,6.97,6.42,6.57,4.57,6.25,3.15,5.82
19-1031.00,Conservation Scientists,"Life, Physical, and Social Science","Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.",7.51,8.14,2.84,4.47,4.93,5.2,7.48,1.46,8.26,8.04,7.6,6.98,1.18,1.06,7.45,6.68,7.55,8.47,6.26,7.02,5.58,5.65,6.93,6.92,6.34,6.34,4.39,6.59,2.38,5.78
19-1031.00,Conservation Scientists,"Life, Physical, and Social Science","Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.",7.8,8.43,2.36,4.27,4.46,5.73,6.68,1.38,7.66,7.69,6.89,7.36,1.0,1.02,7.98,6.5,7.93,7.88,6.48,7.78,5.95,6.16,6.86,6.92,6.87,6.34,3.99,6.24,3.1,5.97
19-1031.00,Conservation Scientists,"Life, Physical, and Social Science","Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.",7.15,8.5,2.63,4.12,4.28,5.93,7.07,1.0,7.51,8.08,6.78,6.67,1.03,1.0,7.44,6.53,7.59,7.92,6.72,7.14,5.95,5.53,6.46,6.92,6.98,6.53,4.88,6.69,2.47,6.15
19-1031.00,Conservation Scientists,"Life, Physical, and Social Science","Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.",7.45,7.8,2.61,4.37,4.26,5.85,6.72,1.17,7.91,7.69,7.41,6.52,1.0,1.0,7.44,6.72,7.05,8.44,6.19,7.86,5.7,5.78,6.35,7.19,6.11,6.18,4.81,6.63,2.55,5.41
19-1031.00,Conservation Scientists,"Life, Physical, and Social Science","Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.",7.2,8.32,3.14,3.96,4.27,5.8,6.87,1.0,7.37,7.91,7.7,7.34,1.0,1.41,7.84,6.86,7.39,7.76,6.77,7.81,5.98,5.89,6.48,6.84,6.78,6.48,4.79,6.61,3.09,5.36
19-1031.00,Conservation Scientists,"Life, Physical, and Social Science","Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.",7.35,8.17,3.11,4.31,4.18,5.39,7.17,1.0,7.78,8.25,7.04,7.45,1.0,1.0,7.1,7.46,7.72,8.03,6.23,7.24,6.25,6.12,7.0,6.56,6.88,5.76,4.11,6.46,2.54,5.35
19-1031.00,Conservation Scientists,"Life, Physical, and Social Science","Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.",7.59,8.42,2.82,4.55,4.97,5.49,6.93,1.0,7.29,7.32,7.71,7.5,1.45,1.29,7.65,6.59,7.8,8.11,6.46,7.11,5.68,5.55,7.22,7.18,6.26,5.62,4.64,6.88,2.62,5.36
19-1031.00,Conservation Scientists,"Life, Physical, and Social Science","Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.",7.65,7.75,2.81,4.14,4.63,5.59,6.74,1.0,7.63,7.53,6.92,6.97,1.11,1.13,7.78,7.12,7.6,7.96,6.75,7.52,5.97,6.01,6.69,6.65,6.72,5.79,4.68,6.8,2.37,5.32
19-1031.00,Conservation Scientists,"Life, Physical, and Social Science","Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.",7.57,7.91,3.16,4.52,4.54,5.89,7.44,1.36,7.59,8.03,6.82,6.57,1.0,1.0,7.19,7.17,7.74,8.5,6.38,7.96,5.3,6.13,6.58,7.24,6.72,5.61,4.73,6.9,3.14,5.95
19-1031.02,Range Managers,"Life, Physical, and Social Science","Research or study range land management practices to provide sustained production of forage, livestock, and wildlife.",8.7,7.3,2.47,3.2,6.71,5.76,7.82,1.48,8.03,7.7,7.27,6.74,1.0,1.0,7.68,7.48,7.93,7.39,5.93,6.32,5.79,5.84,6.46,5.53,5.29,6.94,5.43,6.68,2.84,5.89
19-1031.02,Range Managers,"Life, Physical, and Social Science","Research or study range land management practices to provide sustained production of forage, livestock, and wildlife.",8.17,6.69,1.72,3.52,6.66,5.57,7.75,1.29,7.64,7.35,7.68,6.15,1.16,1.0,7.64,7.98,8.12,8.08,6.47,7.25,5.78,6.24,6.56,6.04,5.94,7.38,4.76,6.68,2.93,5.68
19-1031.02,Range Managers,"Life, Physical, and Social Science","Research or study range land management practices to provide sustained production of forage, livestock, and wildlife.",7.79,7.21,2.2,2.99,6.6,5.18,7.78,1.0,7.54,8.03,7.32,6.87,1.0,1.15,7.77,7.55,8.15,7.3,5.65,7.05,5.29,6.13,5.82,5.89,5.71,7.47,5.07,6.06,3.11,6.2
19-1031.02,Range Managers,"Life, Physical, and Social Science","Research or study range land management practices to provide sustained production of forage, livestock, and wildlife.",8.64,7.44,1.81,3.44,6.19,5.22,7.28,1.03,8.49,7.9,7.9,6.89,1.22,1.29,7.8,7.84,7.69,7.92,6.27,7.15,5.3,6.02,6.6,5.72,5.34,6.85,5.61,5.95,2.86,6.21
19-1031.02,Range Managers,"Life, Physical, and Social Science","Research or study range land management practices to provide sustained production of forage, livestock, and wildlife.",7.78,7.36,2.07,3.91,6.66,5.07,7.31,1.0,7.58,8.09,7.24,6.79,1.15,1.0,7.74,7.27,8.2,7.78,6.05,6.62,5.75,5.91,6.01,5.92,5.08,6.53,4.99,6.61,3.58,5.42
19-1031.02,Range Managers,"Life, Physical, and Social Science","Research or study range land management practices to provide sustained production of forage, livestock, and wildlife.",8.45,6.8,2.18,3.85,6.63,5.05,7.99,1.39,8.38,7.5,7.29,6.9,1.0,1.0,7.79,7.22,7.38,7.3,5.94,6.56,5.86,5.72,6.57,5.61,5.39,7.0,5.52,6.06,3.41,5.58
19-1031.02,Range Managers,"Life, Physical, and Social Science","Research or study range land management practices to provide sustained production of forage, livestock, and wildlife.",7.98,7.03,2.06,3.56,6.31,5.54,7.43,1.0,7.61,8.25,7.76,6.2,1.39,1.47,7.12,7.51,7.4,7.61,6.04,6.26,5.33,5.91,6.74,6.39,5.21,6.88,4.91,6.76,3.57,5.55
19-1031.02,Range Managers,"Life, Physical, and Social Science","Research or study range land management practices to provide sustained production of forage, livestock, and wildlife.",8.3,7.67,1.8,3.14,6.56,5.19,7.98,1.48,7.91,7.97,7.94,6.66,1.0,1.0,7.38,7.85,7.93,7.48,6.1,6.59,5.93,5.9,6.75,5.64,5.12,6.54,4.7,6.16,3.03,5.65
19-1031.02,Range Managers,"Life, Physical, and Social Science","Research or study range land management practices to provide sustained production of forage, livestock, and wildlife.",7.84,7.54,2.48,3.23,6.71,5.13,7.14,1.0,7.6,7.35,7.03,6.61,1.0,1.19,7.83,7.95,7.26,7.62,5.66,6.97,5.76,5.8,6.32,5.65,5.32,7.4,4.71,6.14,3.33,5.96
19-1031.02,Range Managers,"Life, Physical, and Social Science","Research or study range land management practices to provide sustained production of forage, livestock, and wildlife.",7.82,7.13,2.5,3.43,6.23,5.05,7.45,1.36,7.83,8.01,7.43,6.09,1.06,1.0,7.66,7.53,7.3,7.3,6.45,6.61,6.14,5.82,6.48,6.06,5.84,7.1,5.42,6.8,3.12,5.45
19-1031.03,Park Naturalists,"Life, Physical, and Social Science","Plan, develop, and conduct programs to inform public of historical, natural, and scientific features of national, state, or local park.",6.57,5.71,5.39,6.53,5.23,5.37,7.05,1.0,7.26,7.34,8.68,7.91,1.1,1.33,7.23,6.78,7.48,8.31,4.67,6.76,6.12,5.64,5.58,4.02,4.58,5.73,5.0,7.98,4.77,6.47
19-1031.03,Park Naturalists,"Life, Physical, and Social Science","Plan, develop, and conduct programs to inform public of historical, natural, and scientific features of national, state, or local park.",6.15,6.55,5.06,7.26,4.86,5.4,6.89,1.0,8.08,7.62,8.52,7.6,1.0,1.37,7.62,6.93,6.85,7.94,3.78,6.91,6.2,5.85,6.2,4.19,4.18,5.15,4.92,8.17,4.04,6.66
19-1031.03,Park Naturalists,"Life, Physical, and Social Science","Plan, develop, and conduct programs to inform public of historical, natural, and scientific features of national, state, or local park.",6.16,5.77,5.72,6.75,4.88,5.16,6.75,1.23,7.72,7.45,8.16,7.98,1.41,1.05,7.7,6.46,7.27,7.68,4.55,6.39,5.53,5.81,6.12,4.1,4.41,5.38,5.66,8.03,4.69,7.18
19-1031.03,Park Naturalists,"Life, Physical, and Social Science","Plan, develop, and conduct programs to inform public of historical, natural, and scientific features of national, state, or local park.",6.57,5.71,5.68,6.94,4.5,4.71,7.31,1.4,7.38,8.07,8.7,7.68,1.0,1.0,7.58,6.66,6.53,8.42,4.13,6.92,5.55,5.83,6.23,4.45,3.84,5.22,5.24,8.25,4.74,6.48
19-1031.03,Park Naturalists,"Life, Physical, and Social Science","Plan, develop, and conduct programs to inform public of historical, natural, and scientific features of national, state, or local park.",6.52,6.27,5.44,6.97,5.0,5.12,7.26,1.06,7.64,7.5,8.63,7.98,1.0,1.19,7.44,7.11,6.68,7.55,4.25,7.17,5.6,6.34,5.99,4.06,3.86,5.57,5.57,8.24,4.03,7.07
